PARAMETER,YEAR,LAT,LON,ANN-Wind
WS2M,2014,-14,35,3.71
WS2M,2014,-14,35.625,2.39
WS2M,2014,-14.5,33.125,2.29
WS2M,2014,-14.5,33.75,2.34
WS2M,2014,-14.5,34.375,1.56
WS2M,2014,-14.5,35,2.49
WS2M,2014,-14.5,35.625,2.54
WS2M,2014,-15,33.125,2.57
WS2M,2014,-15,33.75,2.35
WS2M,2014,-15,34.375,2.28
WS2M,2014,-15,35,2.08
WS2M,2014,-15,35.625,2.93
WS2M,2014,-15.5,33.125,2.7
WS2M,2014,-15.5,33.75,2.43
WS2M,2014,-15.5,34.375,2.38
WS2M,2014,-15.5,35,2.06
WS2M,2014,-15.5,35.625,2.55
WS2M,2014,-16,33.125,2.71
WS2M,2014,-16,33.75,2.61
WS2M,2014,-16,34.375,2.38
WS2M,2014,-16,35,2.13
WS2M,2014,-16,35.625,1.83
WS2M,2014,-16.5,33.125,2.78
WS2M,2014,-16.5,33.75,2.84
WS2M,2014,-16.5,34.375,2.63
WS2M,2014,-16.5,35,2.34
WS2M,2014,-16.5,35.625,2.21
WS2M,2014,-17,33.125,2.85
WS2M,2014,-17,33.75,3.05
WS2M,2014,-17,34.375,2.74
WS2M,2014,-17,35,2.45
WS2M,2014,-17,35.625,2.6
WS2M,2014,-9.5,33.125,2.29
WS2M,2014,-9.5,33.75,1.08
WS2M,2014,-9.5,34.375,1.66
WS2M,2014,-9.5,35,0.78
WS2M,2014,-9.5,35.625,0.07
WS2M,2015,-10,33.125,2.31
WS2M,2015,-10,33.75,2.61
WS2M,2015,-10,34.375,4.08
WS2M,2015,-10,35,1.17
WS2M,2015,-10,35.625,0.86
WS2M,2015,-10.5,33.125,2.18
WS2M,2015,-10.5,33.75,2.08
WS2M,2015,-10.5,34.375,3.72
WS2M,2015,-10.5,35,2.4
WS2M,2015,-10.5,35.625,2.25
WS2M,2015,-11,33.125,2.47
WS2M,2015,-11,33.75,2.69
WS2M,2015,-11,34.375,3.74
WS2M,2015,-11,35,2.93
WS2M,2015,-11,35.625,1.21
WS2M,2015,-11.5,33.125,2.87
WS2M,2015,-11.5,33.75,2.39
WS2M,2015,-11.5,34.375,3.78
WS2M,2015,-11.5,35,3.06
WS2M,2015,-11.5,35.625,2.12
WS2M,2015,-12,33.125,3.02
WS2M,2015,-12,33.75,1.74
WS2M,2015,-12,34.375,3.82
WS2M,2015,-12,35,2.93
WS2M,2015,-12,35.625,2.23
WS2M,2015,-12.5,33.125,3.04
WS2M,2015,-12.5,33.75,2.03
WS2M,2015,-12.5,34.375,4.03
WS2M,2015,-12.5,35,3.02
WS2M,2015,-12.5,35.625,2.08
WS2M,2015,-13,33.125,2.83
WS2M,2015,-13,33.75,2.37
WS2M,2015,-13,34.375,3.85
