-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/30/2015 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
QV2M     MERRA-2 Specific Humidity at 2 Meters (g/kg) 
-END HEADER-
LAT,LON,YEAR,MO,DY,QV2M
-16.5,32.5,2015,1,4,16.26
-16.5,33.125,2015,1,4,16.92
-16.5,33.75,2015,1,4,17.4
-16.5,34.375,2015,1,4,17.99
-16.5,35.0,2015,1,4,18.22
-16.5,35.625,2015,1,4,17.62
-16.5,36.25,2015,1,4,17.8
-16.5,36.875,2015,1,4,18.19
-16.0,32.5,2015,1,4,17.23
-16.0,33.125,2015,1,4,17.96
-16.0,33.75,2015,1,4,18.3
-16.0,34.375,2015,1,4,18.47
-16.0,35.0,2015,1,4,18.22
-16.0,35.625,2015,1,4,17.38
-16.0,36.25,2015,1,4,17.98
-16.0,36.875,2015,1,4,17.98
-15.5,32.5,2015,1,4,18.44
-15.5,33.125,2015,1,4,18.63
-15.5,33.75,2015,1,4,18.32
-15.5,34.375,2015,1,4,17.67
-15.5,35.0,2015,1,4,18.37
-15.5,35.625,2015,1,4,17.97
-15.5,36.25,2015,1,4,17.63
-15.5,36.875,2015,1,4,17.2
-15.0,32.5,2015,1,4,18.25
-15.0,33.125,2015,1,4,18.07
-15.0,33.75,2015,1,4,16.88
-15.0,34.375,2015,1,4,16.54
-15.0,35.0,2015,1,4,17.92
-15.0,35.625,2015,1,4,17.61
-15.0,36.25,2015,1,4,17.65
-15.0,36.875,2015,1,4,16.98
-14.5,32.5,2015,1,4,17.54
-14.5,33.125,2015,1,4,17.25
-14.5,33.75,2015,1,4,16.13
-14.5,34.375,2015,1,4,16.37
-14.5,35.0,2015,1,4,18.07
-14.5,35.625,2015,1,4,16.89
-14.5,36.25,2015,1,4,17.68
-14.5,36.875,2015,1,4,17.67
-14.0,32.5,2015,1,4,16.86
-14.0,33.125,2015,1,4,16.61
-14.0,33.75,2015,1,4,16.18
-14.0,34.375,2015,1,4,17.66
-14.0,35.0,2015,1,4,17.42
-14.0,35.625,2015,1,4,16.63
-14.0,36.25,2015,1,4,17.81
-14.0,36.875,2015,1,4,17.61
-13.5,32.5,2015,1,4,16.9
-13.5,33.125,2015,1,4,16.44
-13.5,33.75,2015,1,4,16.18
-13.5,34.375,2015,1,4,18.28
-13.5,35.0,2015,1,4,16.74
-13.5,35.625,2015,1,4,16.42
-13.5,36.25,2015,1,4,17.99
-13.5,36.875,2015,1,4,17.52
-13.0,32.5,2015,1,4,17.08
-13.0,33.125,2015,1,4,16.23
-13.0,33.75,2015,1,4,16.37
-13.0,34.375,2015,1,4,18.05
-13.0,35.0,2015,1,4,16.36
-13.0,35.625,2015,1,4,15.91
-13.0,36.25,2015,1,4,17.63
-13.0,36.875,2015,1,4,18.15
-12.5,32.5,2015,1,4,17.36
-12.5,33.125,2015,1,4,15.97
-12.5,33.75,2015,1,4,16.22
-12.5,34.375,2015,1,4,17.6
-12.5,35.0,2015,1,4,16.66
-12.5,35.625,2015,1,4,16.21
-12.5,36.25,2015,1,4,17.41
-12.5,36.875,2015,1,4,18.01
-12.0,32.5,2015,1,4,17.51
-12.0,33.125,2015,1,4,15.96
-12.0,33.75,2015,1,4,15.61
-12.0,34.375,2015,1,4,17.0
-12.0,35.0,2015,1,4,16.99
-12.0,35.625,2015,1,4,16.91
-12.0,36.25,2015,1,4,17.63
-12.0,36.875,2015,1,4,17.91
-11.5,32.5,2015,1,4,16.83
-11.5,33.125,2015,1,4,16.34
-11.5,33.75,2015,1,4,15.24
-11.5,34.375,2015,1,4,16.68
-11.5,35.0,2015,1,4,16.39
-11.5,35.625,2015,1,4,17.41
-11.5,36.25,2015,1,4,17.88
-11.5,36.875,2015,1,4,18.16
-11.0,32.5,2015,1,4,15.82
-11.0,33.125,2015,1,4,16.28
-11.0,33.75,2015,1,4,14.98
-11.0,34.375,2015,1,4,16.56
-11.0,35.0,2015,1,4,16.35
-11.0,35.625,2015,1,4,17.22
-11.0,36.25,2015,1,4,17.7
-11.0,36.875,2015,1,4,17.77
-10.5,32.5,2015,1,4,15.13
-10.5,33.125,2015,1,4,15.55
-10.5,33.75,2015,1,4,14.48
-10.5,34.375,2015,1,4,16.38
-10.5,35.0,2015,1,4,16.78
-10.5,35.625,2015,1,4,17.01
-10.5,36.25,2015,1,4,17.37
-10.5,36.875,2015,1,4,17.52
-10.0,32.5,2015,1,4,14.4
-10.0,33.125,2015,1,4,14.91
-10.0,33.75,2015,1,4,15.71
-10.0,34.375,2015,1,4,16.16
-10.0,35.0,2015,1,4,16.03
-10.0,35.625,2015,1,4,17.46
-10.0,36.25,2015,1,4,17.57
-10.0,36.875,2015,1,4,17.73
-9.5,32.5,2015,1,4,14.21
-9.5,33.125,2015,1,4,13.97
-9.5,33.75,2015,1,4,14.93
-9.5,34.375,2015,1,4,13.99
-9.5,35.0,2015,1,4,14.65
-9.5,35.625,2015,1,4,17.82
-9.5,36.25,2015,1,4,17.74
-9.5,36.875,2015,1,4,18.02
-9.0,32.5,2015,1,4,14.4
-9.0,33.125,2015,1,4,14.12
-9.0,33.75,2015,1,4,13.41
-9.0,34.375,2015,1,4,14.34
-9.0,35.0,2015,1,4,14.63
-9.0,35.625,2015,1,4,17.66
-9.0,36.25,2015,1,4,18.25
-9.0,36.875,2015,1,4,17.91
-17.0,32.5,2015,1,5,15.83
-17.0,33.125,2015,1,5,16.62
-17.0,33.75,2015,1,5,16.79
-17.0,34.375,2015,1,5,17.43
-17.0,35.0,2015,1,5,16.67
-17.0,35.625,2015,1,5,14.93
-17.0,36.25,2015,1,5,14.81
-17.0,36.875,2015,1,5,15.14
-16.5,32.5,2015,1,5,16.45
-16.5,33.125,2015,1,5,17.03
-16.5,33.75,2015,1,5,16.82
-16.5,34.375,2015,1,5,16.68
-16.5,35.0,2015,1,5,16.42
-16.5,35.625,2015,1,5,15.87
-16.5,36.25,2015,1,5,16.01
-16.5,36.875,2015,1,5,16.1
-16.0,32.5,2015,1,5,16.53
-16.0,33.125,2015,1,5,16.88
-16.0,33.75,2015,1,5,16.64
-16.0,34.375,2015,1,5,16.61
-16.0,35.0,2015,1,5,17.16
-16.0,35.625,2015,1,5,16.83
-16.0,36.25,2015,1,5,16.8
-16.0,36.875,2015,1,5,16.66
-15.5,32.5,2015,1,5,16.45
-15.5,33.125,2015,1,5,16.26
-15.5,33.75,2015,1,5,16.48
-15.5,34.375,2015,1,5,16.77
-15.5,35.0,2015,1,5,17.82
-15.5,35.625,2015,1,5,17.71
-15.5,36.25,2015,1,5,17.38
-15.5,36.875,2015,1,5,17.0
-15.0,32.5,2015,1,5,16.19
-15.0,33.125,2015,1,5,16.2
-15.0,33.75,2015,1,5,16.08
-15.0,34.375,2015,1,5,16.51
-15.0,35.0,2015,1,5,17.73
-15.0,35.625,2015,1,5,17.84
-15.0,36.25,2015,1,5,17.81
-15.0,36.875,2015,1,5,17.25
-14.5,32.5,2015,1,5,16.0
-14.5,33.125,2015,1,5,16.07
-14.5,33.75,2015,1,5,15.71
-14.5,34.375,2015,1,5,16.52
-14.5,35.0,2015,1,5,18.03
-14.5,35.625,2015,1,5,17.13
-14.5,36.25,2015,1,5,17.84
-14.5,36.875,2015,1,5,17.94
-14.0,32.5,2015,1,5,15.7
-14.0,33.125,2015,1,5,15.69
-14.0,33.75,2015,1,5,15.95
-14.0,34.375,2015,1,5,17.61
-14.0,35.0,2015,1,5,17.41
-14.0,35.625,2015,1,5,16.79
-14.0,36.25,2015,1,5,17.77
-14.0,36.875,2015,1,5,17.75
-13.5,32.5,2015,1,5,16.05
-13.5,33.125,2015,1,5,15.8
-13.5,33.75,2015,1,5,16.0
-13.5,34.375,2015,1,5,18.36
-13.5,35.0,2015,1,5,16.65
-13.5,35.625,2015,1,5,16.33
-13.5,36.25,2015,1,5,17.76
-13.5,36.875,2015,1,5,17.61
-13.0,32.5,2015,1,5,16.4
-13.0,33.125,2015,1,5,15.76
-13.0,33.75,2015,1,5,16.22
-13.0,34.375,2015,1,5,18.01
-13.0,35.0,2015,1,5,16.3
-13.0,35.625,2015,1,5,15.83
-13.0,36.25,2015,1,5,17.36
-13.0,36.875,2015,1,5,18.28
-12.5,32.5,2015,1,5,16.79
-12.5,33.125,2015,1,5,15.76
-12.5,33.75,2015,1,5,16.29
-12.5,34.375,2015,1,5,17.44
-12.5,35.0,2015,1,5,16.6
-12.5,35.625,2015,1,5,16.31
-12.5,36.25,2015,1,5,17.34
-12.5,36.875,2015,1,5,18.29
-12.0,32.5,2015,1,5,17.17
-12.0,33.125,2015,1,5,16.01
-12.0,33.75,2015,1,5,15.82
-12.0,34.375,2015,1,5,16.99
-12.0,35.0,2015,1,5,16.85
-12.0,35.625,2015,1,5,17.18
-12.0,36.25,2015,1,5,17.88
-12.0,36.875,2015,1,5,18.35
-11.5,32.5,2015,1,5,16.74
-11.5,33.125,2015,1,5,16.3
-11.5,33.75,2015,1,5,15.47
-11.5,34.375,2015,1,5,16.76
-11.5,35.0,2015,1,5,16.28
-11.5,35.625,2015,1,5,17.65
-11.5,36.25,2015,1,5,17.99
-11.5,36.875,2015,1,5,18.32
-11.0,32.5,2015,1,5,15.87
-11.0,33.125,2015,1,5,16.26
-11.0,33.75,2015,1,5,15.1
-11.0,34.375,2015,1,5,16.37
-11.0,35.0,2015,1,5,16.14
-11.0,35.625,2015,1,5,17.05
-11.0,36.25,2015,1,5,17.53
-11.0,36.875,2015,1,5,17.67
-10.5,32.5,2015,1,5,15.21
-10.5,33.125,2015,1,5,15.73
-10.5,33.75,2015,1,5,14.69
-10.5,34.375,2015,1,5,16.44
-10.5,35.0,2015,1,5,16.64
-10.5,35.625,2015,1,5,16.68
-10.5,36.25,2015,1,5,17.3
-10.5,36.875,2015,1,5,17.32
-10.0,32.5,2015,1,5,14.72
