"model","forecast_date","location","horizon","temporal_resolution","target_variable","target_end_date","type","quantile","value"
"T1_SARIMAX",2023-05-01,"Balaka",3,"month","incidence",2023-08-01,"quantile",0.1,1.84679435893789
"T1_SARIMAX",2023-05-01,"Balaka",3,"month","incidence",2023-08-01,"quantile",0.15,5.96493698139992
"T1_SARIMAX",2023-05-01,"Balaka",3,"month","incidence",2023-08-01,"quantile",0.2,9.23790618995494
"T1_SARIMAX",2023-05-01,"Balaka",3,"month","incidence",2023-08-01,"quantile",0.25,12.0458223401908
"T1_SARIMAX",2023-05-01,"Balaka",3,"month","incidence",2023-08-01,"quantile",0.3,14.5674178253996
"T1_SARIMAX",2023-05-01,"Balaka",3,"month","incidence",2023-08-01,"quantile",0.35,16.9040518352955
"T1_SARIMAX",2023-05-01,"Balaka",3,"month","incidence",2023-08-01,"quantile",0.4,19.1212890107486
"T1_SARIMAX",2023-05-01,"Balaka",3,"month","incidence",2023-08-01,"quantile",0.45,21.2664916378763
"T1_SARIMAX",2023-05-01,"Balaka",3,"month","incidence",2023-08-01,"quantile",0.5,23.3776828878169
"T1_SARIMAX",2023-05-01,"Balaka",3,"month","incidence",2023-08-01,"quantile",0.55,25.4888741377575
"T1_SARIMAX",2023-05-01,"Balaka",3,"month","incidence",2023-08-01,"quantile",0.6,27.6340767648852
"T1_SARIMAX",2023-05-01,"Balaka",3,"month","incidence",2023-08-01,"quantile",0.65,29.8513139403384
"T1_SARIMAX",2023-05-01,"Balaka",3,"month","incidence",2023-08-01,"quantile",0.7,32.1879479502343
"T1_SARIMAX",2023-05-01,"Balaka",3,"month","incidence",2023-08-01,"quantile",0.75,34.709543435443
"T1_SARIMAX",2023-05-01,"Balaka",3,"month","incidence",2023-08-01,"quantile",0.8,37.5174595856789
"T1_SARIMAX",2023-05-01,"Balaka",3,"month","incidence",2023-08-01,"quantile",0.85,40.7904287942339
"T1_SARIMAX",2023-05-01,"Balaka",3,"month","incidence",2023-08-01,"quantile",0.9,44.9085714166959
"T1_SARIMAX",2023-05-01,"Balaka",3,"month","incidence",2023-08-01,"quantile",0.95,51.0122791384677
"T1_SARIMAX",2023-05-01,"Balaka",3,"month","incidence",2023-08-01,"quantile",0.975,56.3063353168875
"T1_SARIMAX",2023-05-01,"Balaka",3,"month","incidence",2023-08-01,"quantile",0.99,62.4618197279001
"T1_SARIMAX",2023-05-01,"Balaka",1,"month","incidence",2023-06-01,"point",NA,16.11733439459
"T1_SARIMAX",2023-05-01,"Balaka",2,"month","incidence",2023-07-01,"point",NA,13.8861101838103
"T1_SARIMAX",2023-05-01,"Balaka",3,"month","incidence",2023-08-01,"point",NA,23.3776828878169
