-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2017 through 12/30/2017 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
QV2M     MERRA-2 Specific Humidity at 2 Meters (g/kg) 
-END HEADER-
LAT,LON,YEAR,MO,DY,QV2M
-15.0,35.625,2017,1,4,16.77
-15.0,36.25,2017,1,4,16.69
-15.0,36.875,2017,1,4,16.23
-14.5,32.5,2017,1,4,16.4
-14.5,33.125,2017,1,4,16.21
-14.5,33.75,2017,1,4,14.88
-14.5,34.375,2017,1,4,14.66
-14.5,35.0,2017,1,4,16.85
-14.5,35.625,2017,1,4,16.51
-14.5,36.25,2017,1,4,16.83
-14.5,36.875,2017,1,4,16.86
-14.0,32.5,2017,1,4,15.6
-14.0,33.125,2017,1,4,15.73
-14.0,33.75,2017,1,4,15.15
-14.0,34.375,2017,1,4,16.33
-14.0,35.0,2017,1,4,17.08
-14.0,35.625,2017,1,4,16.55
-14.0,36.25,2017,1,4,16.91
-14.0,36.875,2017,1,4,16.7
-13.5,32.5,2017,1,4,15.81
-13.5,33.125,2017,1,4,15.63
-13.5,33.75,2017,1,4,15.41
-13.5,34.375,2017,1,4,17.29
-13.5,35.0,2017,1,4,16.81
-13.5,35.625,2017,1,4,16.13
-13.5,36.25,2017,1,4,17.03
-13.5,36.875,2017,1,4,16.47
-13.0,32.5,2017,1,4,16.26
-13.0,33.125,2017,1,4,15.52
-13.0,33.75,2017,1,4,16.07
-13.0,34.375,2017,1,4,17.16
-13.0,35.0,2017,1,4,16.22
-13.0,35.625,2017,1,4,15.71
-13.0,36.25,2017,1,4,16.97
-13.0,36.875,2017,1,4,17.0
-12.5,32.5,2017,1,4,16.56
-12.5,33.125,2017,1,4,15.56
-12.5,33.75,2017,1,4,16.32
-12.5,34.375,2017,1,4,16.99
-12.5,35.0,2017,1,4,16.2
-12.5,35.625,2017,1,4,16.11
-12.5,36.25,2017,1,4,16.98
-12.5,36.875,2017,1,4,16.77
-12.0,32.5,2017,1,4,16.62
-12.0,33.125,2017,1,4,15.5
-12.0,33.75,2017,1,4,15.56
-12.0,34.375,2017,1,4,16.57
-12.0,35.0,2017,1,4,16.39
-12.0,35.625,2017,1,4,16.64
-12.0,36.25,2017,1,4,16.84
-12.0,36.875,2017,1,4,16.41
-11.5,32.5,2017,1,4,16.14
-11.5,33.125,2017,1,4,15.49
-11.5,33.75,2017,1,4,15.19
-11.5,34.375,2017,1,4,16.22
-11.5,35.0,2017,1,4,15.39
-11.5,35.625,2017,1,4,16.37
-11.5,36.25,2017,1,4,16.02
-11.5,36.875,2017,1,4,15.25
-11.0,32.5,2017,1,4,15.4
-11.0,33.125,2017,1,4,15.41
-11.0,33.75,2017,1,4,14.67
-11.0,34.375,2017,1,4,15.95
-11.0,35.0,2017,1,4,14.73
-11.0,35.625,2017,1,4,15.58
-11.0,36.25,2017,1,4,14.9
-11.0,36.875,2017,1,4,14.73
-10.5,32.5,2017,1,4,14.93
-10.5,33.125,2017,1,4,15.14
-10.5,33.75,2017,1,4,13.96
-10.5,34.375,2017,1,4,16.12
-10.5,35.0,2017,1,4,15.28
-10.5,35.625,2017,1,4,15.63
-10.5,36.25,2017,1,4,15.41
-10.5,36.875,2017,1,4,15.3
-10.0,32.5,2017,1,4,14.77
-10.0,33.125,2017,1,4,15.08
-10.0,33.75,2017,1,4,15.27
-10.0,34.375,2017,1,4,15.01
-10.0,35.0,2017,1,4,15.41
-10.0,35.625,2017,1,4,15.98
-10.0,36.25,2017,1,4,15.76
-10.0,36.875,2017,1,4,16.04
-9.5,32.5,2017,1,4,14.61
-9.5,33.125,2017,1,4,14.17
-9.5,33.75,2017,1,4,14.82
-9.5,34.375,2017,1,4,12.35
-9.5,35.0,2017,1,4,13.97
-9.5,35.625,2017,1,4,16.32
-9.5,36.25,2017,1,4,16.15
-9.5,36.875,2017,1,4,17.12
-9.0,32.5,2017,1,4,14.51
-9.0,33.125,2017,1,4,13.72
-9.0,33.75,2017,1,4,12.36
-9.0,34.375,2017,1,4,12.45
-9.0,35.0,2017,1,4,14.15
-9.0,35.625,2017,1,4,17.26
-9.0,36.25,2017,1,4,17.1
-9.0,36.875,2017,1,4,16.55
-17.0,32.5,2017,1,5,14.89
-17.0,33.125,2017,1,5,15.31
-17.0,33.75,2017,1,5,15.03
-17.0,34.375,2017,1,5,16.01
-17.0,35.0,2017,1,5,17.43
-17.0,35.625,2017,1,5,18.33
-17.0,36.25,2017,1,5,18.54
-17.0,36.875,2017,1,5,18.63
-16.5,32.5,2017,1,5,15.37
-16.5,33.125,2017,1,5,15.38
-16.5,33.75,2017,1,5,15.9
-16.5,34.375,2017,1,5,16.89
-16.5,35.0,2017,1,5,17.92
-16.5,35.625,2017,1,5,17.65
-16.5,36.25,2017,1,5,17.49
-16.5,36.875,2017,1,5,18.18
-16.0,32.5,2017,1,5,16.16
-16.0,33.125,2017,1,5,16.51
-16.0,33.75,2017,1,5,17.03
-16.0,34.375,2017,1,5,17.04
-16.0,35.0,2017,1,5,16.96
-16.0,35.625,2017,1,5,15.62
-16.0,36.25,2017,1,5,16.77
-16.0,36.875,2017,1,5,17.16
-15.5,32.5,2017,1,5,17.17
-15.5,33.125,2017,1,5,16.88
-15.5,33.75,2017,1,5,17.13
-15.5,34.375,2017,1,5,16.35
-15.5,35.0,2017,1,5,16.77
-15.5,35.625,2017,1,5,16.45
-15.5,36.25,2017,1,5,16.43
-15.5,36.875,2017,1,5,16.38
-15.0,32.5,2017,1,5,17.4
-15.0,33.125,2017,1,5,17.21
-15.0,33.75,2017,1,5,15.98
-15.0,34.375,2017,1,5,15.48
-15.0,35.0,2017,1,5,16.41
-15.0,35.625,2017,1,5,16.5
-15.0,36.25,2017,1,5,16.85
-15.0,36.875,2017,1,5,16.64
-14.5,32.5,2017,1,5,16.7
-14.5,33.125,2017,1,5,16.59
-14.5,33.75,2017,1,5,15.54
-14.5,34.375,2017,1,5,15.3
-14.5,35.0,2017,1,5,16.56
-14.5,35.625,2017,1,5,16.3
-14.5,36.25,2017,1,5,16.82
-14.5,36.875,2017,1,5,17.07
-14.0,32.5,2017,1,5,15.79
-14.0,33.125,2017,1,5,15.65
-14.0,33.75,2017,1,5,15.51
-14.0,34.375,2017,1,5,16.0
-14.0,35.0,2017,1,5,16.05
-14.0,35.625,2017,1,5,16.21
-14.0,36.25,2017,1,5,16.68
-14.0,36.875,2017,1,5,16.49
-13.5,32.5,2017,1,5,15.87
-13.5,33.125,2017,1,5,15.4
-13.5,33.75,2017,1,5,15.28
-13.5,34.375,2017,1,5,16.34
-13.5,35.0,2017,1,5,15.8
-13.5,35.625,2017,1,5,15.9
-13.5,36.25,2017,1,5,16.64
-13.5,36.875,2017,1,5,16.2
-13.0,32.5,2017,1,5,16.38
-13.0,33.125,2017,1,5,15.53
-13.0,33.75,2017,1,5,15.55
-13.0,34.375,2017,1,5,16.52
-13.0,35.0,2017,1,5,15.68
-13.0,35.625,2017,1,5,15.54
-13.0,36.25,2017,1,5,16.48
-13.0,36.875,2017,1,5,17.01
-12.5,32.5,2017,1,5,16.55
-12.5,33.125,2017,1,5,15.17
-12.5,33.75,2017,1,5,15.79
-12.5,34.375,2017,1,5,17.13
-12.5,35.0,2017,1,5,16.11
-12.5,35.625,2017,1,5,15.8
-12.5,36.25,2017,1,5,16.58
-12.5,36.875,2017,1,5,17.07
-12.0,32.5,2017,1,5,16.54
-12.0,33.125,2017,1,5,15.19
-12.0,33.75,2017,1,5,15.3
-12.0,34.375,2017,1,5,17.07
-12.0,35.0,2017,1,5,16.51
-12.0,35.625,2017,1,5,16.66
-12.0,36.25,2017,1,5,17.01
-12.0,36.875,2017,1,5,17.01
-11.5,32.5,2017,1,5,16.3
-11.5,33.125,2017,1,5,15.58
-11.5,33.75,2017,1,5,15.14
-11.5,34.375,2017,1,5,17.01
-11.5,35.0,2017,1,5,16.15
-11.5,35.625,2017,1,5,17.13
-11.5,36.25,2017,1,5,17.01
-11.5,36.875,2017,1,5,16.2
-11.0,32.5,2017,1,5,15.72
-11.0,33.125,2017,1,5,15.63
