District,Incidence_Month,Year,Incidence_per_1k,Temperature,Precipitation,lag1_rainfall,lag2_rainfall,lag3_rainfall,lag1_temperature,lag2_temperature,lag3_temperature
Chiradzulu,May,2022,6.0564,292.902,0,0,0.02,0.02,295.289,295.839,296.486
Chiradzulu,June,2022,4.6251,290.134,0,0,0,0.02,292.902,295.289,295.839
Chiradzulu,July,2022,1.9241,290.459,0,0,0,0,290.134,292.902,295.289
Chiradzulu,August,2022,1.5669,292.874,0,0,0,0,290.459,290.134,292.902
Chiradzulu,September,2022,1.5669,294.944,0,0,0,0,292.874,290.459,290.134
Chiradzulu,October,2022,2.7949,298.698,0,0,0,0,294.944,292.874,290.459
Chiradzulu,November,2022,2.555,298.332,0,0,0,0,298.698,294.944,292.874
Chiradzulu,December,2022,4.5312,296.797,0.02,0,0,0,298.332,298.698,294.944
Chiradzulu,January,2023,14.1308,296.151,0.03,0.02,0,0,296.797,298.332,298.698
Chiradzulu,February,2023,16.9159,296.666,0.02,0.03,0.02,0,296.151,296.797,298.332
Chiradzulu,March,2023,12.0509,295.709,0.04,0.02,0.03,0.02,296.666,296.151,296.797
Chiradzulu,April,2023,14.0975,294.94,0,0.04,0.02,0.03,295.709,296.666,296.151
Chiradzulu,May,2023,12.133,294.044,0,0,0.04,0.02,294.94,295.709,296.666
Chiradzulu,June,2023,23.5633,293.207,0,0,0,0.04,294.044,294.94,295.709
Chiradzulu,July,2023,19.796,291.343,0,0,0,0,293.207,294.044,294.94
Chiradzulu,August,2023,11.7945,292.909,0,0,0,0,291.343,293.207,294.044
Chiradzulu,September,2023,6.2704,297.138,0,0,0,0,292.909,291.343,293.207
Chiradzulu,October,2023,8.5811,299.028,0,0,0,0,297.138,292.909,291.343
Chiradzulu,November,2023,14.9335,298.62,0,0,0,0,299.028,297.138,292.909
Chiradzulu,December,2023,12.7126,299.726,0.01,0,0,0,298.62,299.028,297.138
Chiradzulu,January,2024,45.1365,297.42,0.01,0.01,0,0,299.726,298.62,299.028
Chiradzulu,February,2024,30.3838,298.058,0.01,0.01,0.01,0,297.42,299.726,298.62
Chiradzulu,March,2024,38.8543,297.195,0.01,0.01,0.01,0.01,298.058,297.42,299.726
Chiradzulu,April,2024,43.453,295.741,0,0.01,0.01,0.01,297.195,298.058,297.42
